latitude,longitude,Altitude,track_seg_point_id,time
-2.457165,54.155958,200.4,100,2021/09/11 09:11:57+00
-2.456982,54.156039,201,101,2021/09/11 09:12:02+00
-2.456869,54.156095,201.4,102,2021/09/11 09:12:05+00
-2.456662,54.156192,201.6,103,2021/09/11 09:12:10+00
-2.456569,54.15623,201.6,104,2021/09/11 09:12:12+00
-2.456419,54.15628,202,105,2021/09/11 09:12:15+00
-2.456279,54.156324,202.2,106,2021/09/11 09:12:18+00
-2.456234,54.156336,202.4,107,2021/09/11 09:12:19+00
-2.455983,54.156414,203.4,108,2021/09/11 09:12:25+00
-2.455903,54.156435,203.6,109,2021/09/11 09:12:27+00
-2.455701,54.156499,204.6,110,2021/09/11 09:12:32+00
-2.455541,54.156549,205,111,2021/09/11 09:12:36+00
-2.45525,54.156648,205.8,112,2021/09/11 09:12:43+00
-2.455126,54.156693,206.2,113,2021/09/11 09:12:46+00
-2.454881,54.156775,206.8,114,2021/09/11 09:12:52+00
-2.454622,54.156869,207.6,115,2021/09/11 09:12:58+00
-2.454494,54.156917,207.8,116,2021/09/11 09:13:01+00
-2.454292,54.156994,208.6,117,2021/09/11 09:13:06+00
-2.454213,54.157023,209,118,2021/09/11 09:13:08+00
-2.453932,54.15712,209.8,119,2021/09/11 09:13:15+00
-2.453841,54.157153,210,120,2021/09/11 09:13:17+00
-2.453521,54.157272,210.6,121,2021/09/11 09:13:24+00
-2.453349,54.15734,211.2,122,2021/09/11 09:13:28+00
-2.45307,54.157442,211.8,123,2021/09/11 09:13:34+00
-2.452826,54.157526,212.2,124,2021/09/11 09:13:39+00
-2.452627,54.157599,212.8,125,2021/09/11 09:13:43+00
-2.452382,54.15769,213.4,126,2021/09/11 09:13:48+00
-2.45223,54.157745,213.8,127,2021/09/11 09:13:51+00
-2.451947,54.157847,214.4,128,2021/09/11 09:13:57+00
-2.4518,54.157896,215,129,2021/09/11 09:14:00+00
-2.451311,54.158078,215.2,130,2021/09/11 09:14:10+00
